GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
restserver,restserver.repository,CookingBookRepository,0,84,0,10,0,24,0,10,0,5
restserver,restserver,CookingBookService,0,98,0,8,0,25,0,11,0,7
restserver,restserver,CookingBookController,0,46,0,2,0,14,0,7,0,6
restserver,restserver,AppConfig,7,0,0,0,2,0,2,0,2,0
restserver,restserver,RestServerApplication,5,3,0,0,2,1,1,1,1,1
