GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core,core,Dinner,0,7,0,0,0,3,0,1,0,1
core,core,Ingredient,0,172,10,38,0,46,10,23,0,9
core,core,Dessert,0,7,0,0,0,3,0,1,0,1
core,core,Student,1,154,6,18,0,41,6,19,0,13
core,core,Book,0,124,0,14,0,37,0,19,0,12
core,core,Recipe,4,238,3,17,1,62,4,23,1,16
core,core,Breakfast,7,0,0,0,3,0,1,0,1,0
core,core,Users,5,103,1,11,1,27,1,13,0,8
core,core,Lunch,7,0,0,0,3,0,1,0,1,0
